period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
61,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.9954954954955,0.0,0.0,0.0,32.9954954954955,0.0,0.7092592592592595,0.0,-0.0,0.0,0.0,140.0
62,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,34.19369369369369,0.0,0.0,0.0,34.19369369369369,0.0,0.7018518518518522,0.0,-0.0,0.0,0.0,140.0
63,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,36.145645645645644,0.0,0.0,0.0,36.145645645645644,0.0,0.6944444444444448,0.0,-0.0,0.0,0.0,140.0
64,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,34.493993993993996,0.0,0.0,0.0,34.493993993993996,0.0,0.6870370370370373,0.0,-0.0,0.0,0.0,140.0
65,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,34.94444444444444,0.0,0.0,0.0,34.94444444444444,0.0,0.6796296296296299,0.0,-0.0,0.0,0.0,140.0
66,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,31.343843843843842,0.0,0.0,0.0,31.343843843843842,0.0,0.6722222222222225,0.0,-0.0,0.0,0.0,140.0
67,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.6951951951952,0.0,0.0,0.0,32.6951951951952,0.0,0.6648148148148151,0.0,-0.0,0.0,0.0,140.0
68,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,34.94444444444444,0.0,0.0,0.0,34.94444444444444,0.0,0.6574074074074077,0.0,-0.0,0.0,0.0,140.0
69,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,35.0945945945946,0.0,0.0,0.0,35.0945945945946,0.0,0.6500000000000002,0.0,-0.0,0.0,0.0,140.0
70,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,36.5960960960961,2.9999999999999982,0.0,3.0,36.5960960960961,0.0,0.6425925925925928,0.0,-0.0,0.0,0.0,140.0
71,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,40.7972972972973,2.9999999999999987,0.0,3.0,40.7972972972973,0.0,0.6351851851851854,0.0,-0.0,0.0,0.0,140.0
72,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,39.2957957957958,2.9999999999999973,0.0,3.0,39.2957957957958,0.0,0.627777777777778,0.0,-0.0,0.0,0.0,140.0
73,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,36.893393393393396,2.9999999999999973,0.0,3.0,36.893393393393396,0.0,0.6203703703703706,0.0,-0.0,0.0,0.0,140.0
74,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,35.54504504504504,0.0,0.0,0.0,35.54504504504504,0.0,0.6129629629629632,0.0,-0.0,0.0,0.0,140.0
